Sender,channel,text,url_html,is merged,date message,date closed pull request,difference date massage and pull request
mauilion,kubernetes-careers,<https://github.com/kubernetes/kubernetes/pull/53324>,https://github.com/kubernetes/kubernetes/pull/53324,False,2017-12-22 19:33:03,2018-07-03 18:01:46,"192 days, 22:28:43"
mkumatag,kubernetes-careers,Submitted one more PR for multi arch image catalog - <https://github.com/kubernetes/kubernetes/pull/45074>,https://github.com/kubernetes/kubernetes/pull/45074,False,2017-04-28 04:51:02,2017-07-27 05:55:15,"90 days, 1:04:13"
liggitt,kubernetes-careers,"FYI, <https://github.com/kubernetes/kubernetes/pull/56358> Will do something similar for role creation, checking for super user permissions with the active authorizer",https://github.com/kubernetes/kubernetes/pull/56358,True,2017-11-27 23:07:15,2018-07-26 17:34:33,"240 days, 18:27:18"
mikedanese,kubernetes-careers,also i would like to get this one into 1.9 <https://github.com/kubernetes/kubernetes/pull/56444>,https://github.com/kubernetes/kubernetes/pull/56444,True,2017-12-04 18:19:10,2017-12-04 21:56:20,3:37:10
mkumatag,kubernetes-careers,submitted the PR - <https://github.com/kubernetes/kubernetes/pull/44910> for multi architecture k8s test docker images. PTAL..,https://github.com/kubernetes/kubernetes/pull/44910,True,2017-04-25 08:19:24,2017-07-14 07:20:58,"79 days, 23:01:34"
dbhanushali,kubernetes-careers,<@U0E40F05R> <@U5TFNBM42> <https://github.com/kubernetes/kubernetes/pull/44344>,https://github.com/kubernetes/kubernetes/pull/44344,True,2017-07-13 20:23:11,2017-07-14 10:03:07,13:39:56
liggitt,kubernetes-careers,"if it is pre-1.7.x, <https://github.com/kubernetes/kubernetes/pull/44076> would be relevant",https://github.com/kubernetes/kubernetes/pull/44076,True,2018-01-03 17:50:12,2017-04-25 02:07:35,"-254 days, 8:17:23"
liggitt,kubernetes-careers,<https://github.com/kubernetes/kubernetes/pull/56358> will address it by asking the current authorizer if you are a superuser and allowing role/clusterrole creation in that case,https://github.com/kubernetes/kubernetes/pull/56358,True,2017-11-29 14:21:17,2018-07-26 17:34:33,"239 days, 3:13:16"
mkumatag,kubernetes-careers,PR - <https://github.com/kubernetes/kubernetes/pull/53598>,https://github.com/kubernetes/kubernetes/pull/53598,False,2017-10-09 17:00:29,2017-10-20 18:38:54,"11 days, 1:38:25"
