Sender,channel,repository,url_html
ianlewis,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/1423
chrislovecnm,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1514
christopher376,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/1718
chrislovecnm,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/4188
chrislovecnm,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/4188
ashley,kubernetes-novice,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1461
chrislovecnm,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/3612
jorge,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1514
shadoi,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/4049
kfox1111,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/2464
kruczjak,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/3575
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/5843
