name,url html,percentage programming file,has pull request merged,use issue for tracking,# contributors,# commits,last update at least in 2018
kubernetes,https://github.com/kubernetes/kubernetes,68.45778712361863,True,True,380,77124,True
contrib,https://github.com/kubernetes/contrib,78.58312566749733,True,True,269,3879,True
dashboard,https://github.com/kubernetes/dashboard,80.9863523573201,True,True,167,2279,True
minikube,https://github.com/kubernetes/minikube,86.39481707317073,True,True,330,3963,True
test-infra,https://github.com/kubernetes/test-infra,68.86052871467639,True,True,373,21917,True
kube-state-metrics,https://github.com/kubernetes/kube-state-metrics,84.3798650752465,True,True,109,882,True
node-problem-detector,https://github.com/kubernetes/node-problem-detector,76.31578947368422,True,True,40,295,True
frakti,https://github.com/kubernetes/frakti,76.41759406465289,True,True,30,578,True
kompose,https://github.com/kubernetes/kompose,85.85219707057257,True,True,60,1220,True
kops,https://github.com/kubernetes/kops,67.73300522916026,True,True,420,7941,True
client-go,https://github.com/kubernetes/client-go,88.6986301369863,True,True,240,1722,True
gengo,https://github.com/kubernetes/gengo,68.93939393939394,True,True,50,342,True
perf-tests,https://github.com/kubernetes/perf-tests,82.57330026076448,True,True,43,867,True
ingress-nginx,https://github.com/kubernetes/ingress-nginx,76.64745677774994,True,True,373,4007,True
dns,https://github.com/kubernetes/dns,84.34085943190095,True,True,63,359,True
apimachinery,https://github.com/kubernetes/apimachinery,81.94444444444444,True,True,158,1195,True
apiserver,https://github.com/kubernetes/apiserver,82.70707070707071,True,True,224,2549,True
sample-apiserver,https://github.com/kubernetes/sample-apiserver,86.82519280205655,True,True,111,1292,True
kube-aggregator,https://github.com/kubernetes/kube-aggregator,86.32727272727273,True,True,112,999,True
metrics,https://github.com/kubernetes/metrics,81.74273858921161,True,True,80,445,True
kubectl,https://github.com/kubernetes/kubectl,84.52768729641694,True,True,27,682,True
autoscaler,https://github.com/kubernetes/autoscaler,79.53958045320671,True,True,194,2913,True
api,https://github.com/kubernetes/api,76.48026315789474,True,True,334,5061,True
apiextensions-apiserver,https://github.com/kubernetes/apiextensions-apiserver,85.73216520650814,True,True,103,1452,True
code-generator,https://github.com/kubernetes/code-generator,86.25792811839324,True,True,64,370,True
federation,https://github.com/kubernetes/federation,72.10186678958286,True,True,379,14980,True
ingress-gce,https://github.com/kubernetes/ingress-gce,83.95472703062583,True,True,190,2871,True
sample-controller,https://github.com/kubernetes/sample-controller,89.04823989569752,True,True,81,817,True
publishing-bot,https://github.com/kubernetes/publishing-bot,77.69461077844312,True,True,15,379,True
cloud-provider-aws,https://github.com/kubernetes/cloud-provider-aws,85.03496503496504,True,True,107,481,True
cloud-provider-azure,https://github.com/kubernetes/cloud-provider-azure,95.31580537926865,True,True,73,565,True
cloud-provider-gcp,https://github.com/kubernetes/cloud-provider-gcp,74.13441955193483,True,True,98,673,True
org,https://github.com/kubernetes/org,75.0,True,True,56,793,True
csi-api,https://github.com/kubernetes/csi-api,80.72837632776935,True,True,40,126,True
kube-controller-manager,https://github.com/kubernetes/kube-controller-manager,64.28571428571429,True,True,23,78,True
kube-scheduler,https://github.com/kubernetes/kube-scheduler,64.28571428571429,True,True,26,81,True
kubelet,https://github.com/kubernetes/kubelet,64.28571428571429,True,True,18,60,True
kube-proxy,https://github.com/kubernetes/kube-proxy,64.28571428571429,True,True,23,75,True
cli-runtime,https://github.com/kubernetes/cli-runtime,80.56155507559394,True,True,44,155,True
sample-cli-plugin,https://github.com/kubernetes/sample-cli-plugin,82.9926410466067,True,True,36,115,True
cloud-provider-alibaba-cloud,https://github.com/kubernetes/cloud-provider-alibaba-cloud,69.54725523486135,True,True,19,170,True
cluster-bootstrap,https://github.com/kubernetes/cluster-bootstrap,64.28571428571429,True,True,19,53,True
cloud-provider,https://github.com/kubernetes/cloud-provider,81.66666666666667,True,True,32,117,True
node-api,https://github.com/kubernetes/node-api,81.17283950617285,True,False,27,95,True
component-base,https://github.com/kubernetes/component-base,70.32967032967034,True,False,17,55,True
csi-translation-lib,https://github.com/kubernetes/csi-translation-lib,65.71428571428571,True,False,18,65,True
cri-api,https://github.com/kubernetes/cri-api,82.3076923076923,True,True,4,19,True
